parameter_index,attack_params,norm_linf,norm_l2,norm_l0,clip,pct_change_linf,pct_change_l2,pct_change_l0,accuracy,precision,recall,f1
0,"{'c': 0.001, 'kappa': 0}",0.0012180761,0.006634226,1.535014,0.707369871292256,0.15329169364870812,0.27547592515134567,0.5367181934676803,0.9915966386554622,0.9917081876998588,0.9915966386554622,0.9915771460494102
1,"{'c': 0.01, 'kappa': 0}",0.0012180761,0.006634226,1.535014,0.707369871292256,0.15329169364870812,0.27547592515134567,0.5367181934676803,0.9915966386554622,0.9917081876998588,0.9915966386554622,0.9915771460494102
2,"{'c': 0.05, 'kappa': 0}",0.0012531208,0.0068127583,1.8674136,0.707369871292256,0.15770198223959708,0.28288919762673187,0.6529418321756216,0.9906629318394025,0.9908004438888958,0.9906629318394025,0.9906387672230992
3,"{'c': 0.1, 'kappa': 0}",0.0012515857,0.0068186186,1.8674136,0.707369871292256,0.15750878525174178,0.2831325394389692,0.6529418321756216,0.9906629318394025,0.9908004438888958,0.9906629318394025,0.9906387672230992
4,"{'c': 0.5, 'kappa': 0}",0.002297179,0.01088873,4.0074697,0.7074417696318902,0.28909398347607657,0.4521375949158751,1.4012131657633748,0.9841269841269841,0.9845203387477441,0.9841269841269841,0.9840551199122448
5,"{'c': 1, 'kappa': 0}",0.004659445,0.019487528,8.1036415,0.7075428159470517,0.586378980096461,0.8091893138584603,2.833441087416002,0.9719887955182073,0.9731909931354517,0.9719887955182073,0.9717530831181923
6,"{'c': 2.3086, 'kappa': 0}",0.015933285,0.058944616,22.668533,0.7079100804386964,2.005162221171403,2.447583574232382,7.926060603215144,0.9290382819794585,0.9362773297238358,0.9290382819794585,0.9272412696990449
7,"{'c': 4.7579, 'kappa': 0}",0.054151826,0.18060854,58.548084,0.7092256257341646,6.814865740262199,7.499488914518787,20.47135813252909,0.8225957049486461,0.8618353045525544,0.8225957049486461,0.8061768749657546
8,"{'c': 5.6583, 'kappa': 0}",0.06367455,0.21013139,66.049484,0.7094267467653034,8.013275314411887,8.725379416001307,23.09422526326213,0.7992530345471522,0.848077239945752,0.7992530345471522,0.776510035313642
9,"{'c': 6.4897, 'kappa': 0}",0.07211815,0.2371012,72.17647,0.7095744298413087,9.075880489052986,9.845258661228288,25.23652723619154,0.780578898225957,0.8376186757888996,0.780578898225957,0.7516581861478152
10,"{'c': 10, 'kappa': 0}",0.1112414,0.38236284,100.730156,0.7105295118394218,13.999439518646131,15.87702268576039,35.220334246442036,0.6890756302521008,0.7825429839764714,0.6890756302521008,0.6120797105505923
11,"{'c': 32.6387, 'kappa': 0}",0.16580322,0.582729,121.36321,0.7111066417548636,20.865902435738548,24.19691517218507,42.434689715192036,0.6181139122315593,0.4997661303610628,0.6181139122315593,0.48533079438106264
12,"{'c': 37.284, 'kappa': 0}",0.16817431,0.6062677,121.879555,0.7111348181312067,21.16429762279995,25.17432346142233,42.61522893305425,0.6162464985994398,0.47709406343182437,0.6162464985994398,0.4828140745491852
13,"{'c': 100, 'kappa': 0}",0.16830374,0.77710086,123.807655,0.7111474489206019,21.180586237092314,32.267905316774,43.28938997708834,0.6097105508870215,0.3866316194724335,0.6097105508870215,0.4731976317209018
14,"{'c': 639.2624, 'kappa': 0}",0.17066273,0.933627,129.1139,0.7112397508431052,21.47745870313076,38.76741031872924,45.1447226784446,0.5882352941176471,0.38132694938440487,0.5882352941176471,0.46270359995850197
15,"{'c': 1000, 'kappa': 0}",0.17665954,0.9671056,130.10551,0.7112251768553415,22.2321413703199,40.15755787764638,45.49143864558293,0.5826330532212886,0.3799040083869805,0.5826330532212886,0.4599191889145039
