parameter_index,attack_params,norm_linf,norm_l2,norm_l0,clip,pct_change_linf,pct_change_l2,pct_change_l0,accuracy,precision,recall,f1
0,{'eps': 0.0001},0.005214984,0.0154684475,622.423,0.3687646407852076,0.6562921162694265,0.64230323673034,217.63041036112324,0.9915966386554622,0.9917081876998588,0.9915966386554622,0.9915771460494102
1,{'eps': 0.001},0.0061065652,0.037282407,622.423,0.3790218133732855,0.7684952775582876,1.5480940100286604,217.63041036112324,0.9915966386554622,0.9917081876998588,0.9915966386554622,0.9915771460494102
2,{'eps': 0.0022},0.0072953682,0.066213384,622.423,0.3837418422103493,0.9181030282795548,2.7494078585889588,217.63041036112324,0.9915966386554622,0.9917081876998588,0.9915966386554622,0.9915771460494102
3,{'eps': 0.0094},0.014428142,0.2387863,622.423,0.3945926619000011,1.8157440239950828,9.915229728592571,217.63041036112324,0.9915966386554622,0.9917081876998588,0.9915966386554622,0.9915771460494102
4,{'eps': 0.01},0.015022536,0.25312293,622.423,0.39516687701789005,1.8905468738162343,10.510536033382667,217.63041036112324,0.9915966386554622,0.9917081876998588,0.9915966386554622,0.9915771460494102
5,{'eps': 0.0129},0.017895456,0.3223118,622.423,0.39820895406376217,2.252096423045805,13.38349602269071,217.63041036112324,0.988795518207283,0.9889929540097977,0.988795518207283,0.9887604334663158
6,{'eps': 0.0147},0.019678652,0.36516586,622.423,0.40008122569180293,2.4765069649859677,15.162944693868459,217.63041036112324,0.9813258636788048,0.9817469109186615,0.9813258636788048,0.9812359810730571
7,{'eps': 0.0189},0.02383944,0.4648689,622.423,0.40438638167719393,3.0001312503009814,19.302958603313517,217.63041036112324,0.9486461251167133,0.9510000078462757,0.9486461251167133,0.9479592522349566
8,{'eps': 0.0196},0.0245329,0.4814465,622.423,0.40499654596490003,3.087401261293077,19.99131773429495,217.63041036112324,0.9365079365079365,0.9397477214761518,0.9365079365079365,0.9354537493158183
9,{'eps': 0.0297},0.0345386,0.7194322,622.423,0.41366223908918404,4.346592626669761,29.873302775454036,217.63041036112324,0.8412698412698413,0.8422653370021792,0.8412698412698413,0.8375161249245658
10,{'eps': 0.03},0.034835786,0.72647536,622.423,0.4138536441284804,4.3839925865239335,30.16575999524802,217.63041036112324,0.8403361344537815,0.8411618897579445,0.8403361344537815,0.8366261958643219
11,{'eps': 0.0438},0.04850694,1.0496321,622.423,0.4202030447975236,6.104471845338351,43.58434024185605,217.63041036112324,0.800186741363212,0.7978670748728774,0.800186741363212,0.7973034331577747
12,{'eps': 0.0497},0.054352418,1.1872967,622.423,0.42289728933543586,6.8401097169254115,49.30065191242495,217.63041036112324,0.7833800186741363,0.7806999418198354,0.7833800186741363,0.7809980571255765
13,{'eps': 0.05},0.054649886,1.1942877,622.423,0.4229711308734385,6.877545306951304,49.59093856579266,217.63041036112324,0.7833800186741363,0.7806999418198354,0.7833800186741363,0.7809980571255765
14,{'eps': 0.075},0.07943981,1.7742417,622.423,0.432486001684753,9.997292669530982,73.67262809311903,217.63041036112324,0.765639589169001,0.7634316175568097,0.765639589169001,0.7641689676196931
15,{'eps': 0.0882},0.092528895,2.0782151,622.423,0.4369281531551226,11.644519577016604,86.29465253612248,217.63041036112324,0.7553688141923436,0.7524848325965673,0.7553688141923436,0.753310259232212
16,{'eps': 0.0998},0.10403139,2.3442178,622.423,0.44052209853764607,13.09207875273096,97.33999930700274,217.63041036112324,0.7535014005602241,0.7503092986839116,0.7535014005602241,0.7511135066271405
17,{'eps': 0.1},0.10422974,2.3487961,622.423,0.4405570761082789,13.11704050092871,97.5301082560724,217.63041036112324,0.7535014005602241,0.7503092986839116,0.7535014005602241,0.7511135066271405
18,{'eps': 0.1015},0.105717435,2.3831267,622.423,0.44095737497218795,13.30426298877282,98.95563332524837,217.63041036112324,0.7535014005602241,0.7503092986839116,0.7535014005602241,0.7511135066271405
19,{'eps': 0.155},0.15885293,3.5999243,622.423,0.45256021243044564,19.99122672655936,149.4812618490157,217.63041036112324,0.5929038281979458,0.5467977621090835,0.5929038281979458,0.5449671032005043
20,{'eps': 0.1999},0.20345949,4.613885,622.423,0.4575610334317563,25.60484466820359,191.58439964162142,217.63041036112324,0.5014005602240896,0.3572278751756294,0.5014005602240896,0.4172101676491492
21,{'eps': 0.2},0.20355886,4.6161404,622.423,0.4575668630268618,25.617350858477106,191.67805327168958,217.63041036112324,0.5014005602240896,0.3572278751756294,0.5014005602240896,0.4172101676491492
22,{'eps': 0.5},0.5020886,11.349985,622.423,0.4704434670156651,63.18653902613964,471.2904896025661,217.63041036112324,0.1437908496732026,0.1730145295528283,0.1437908496732026,0.15705482192877152
23,{'eps': 1},1.0009319,22.12705,622.423,0.9999125560734179,125.9646587702205,918.7913731740759,217.63041036112324,0.04481792717086835,0.06662931839402428,0.04481792717086835,0.05358926412388012
