parameter_index,attack_params,norm_linf,norm_l2,norm_l0,clip,pct_change_linf,pct_change_l2,pct_change_l0,accuracy,precision,recall,f1
0,"{'c': 0.001, 'kappa': 0}",0.013743664,0.05384961,197.29012,0.21633376123234915,1.7510021608031845,1.0617507045928822,8.092293492881268,0.8921694480102695,0.8976694086980131,0.8921694480102695,0.8942534765179326
1,"{'c': 0.01, 'kappa': 0}",0.015336956,0.063386336,268.8883,0.21634813863928112,1.9539944113152594,1.2497859332263035,11.029052734375,0.8562259306803595,0.8773359637358025,0.8562259306803595,0.8657371459237563
2,"{'c': 0.05, 'kappa': 0}",0.018987037,0.08476854,405.73044,0.21635378690629012,2.419030536774813,1.671378045424511,16.64193758131345,0.7958921694480102,0.8436340159434136,0.7958921694480102,0.8169398976853304
3,"{'c': 0.0991, 'kappa': 0}",0.021587763,0.088198885,501.90628,0.2163640564826701,2.7503742268566547,1.739014008557876,20.586803958883433,0.7522464698331194,0.8277207665082633,0.7522464698331194,0.78624594582339
4,"{'c': 0.1, 'kappa': 0}",0.021613533,0.08856219,501.83185,0.2163640564826701,2.753657397363083,1.7461772833444462,20.583750949324497,0.7522464698331194,0.8266897573865766,0.7522464698331194,0.7859130662853295
5,"{'c': 0.1013, 'kappa': 0}",0.021599624,0.088461906,501.83057,0.2163640564826701,2.7518854107948503,1.7441999715314107,20.58369837597416,0.7522464698331194,0.8266897573865766,0.7522464698331194,0.7859130662853295
6,"{'c': 0.2141, 'kappa': 0}",0.029775482,0.15025462,671.1566,0.2164,3.7935249451284556,2.9625645690731837,27.52898343769227,0.6623876765083441,0.8225902041826303,0.6623876765083441,0.7259031503482891
7,"{'c': 0.3903, 'kappa': 0}",0.039501876,0.212896,815.466,0.21645905006418487,5.032709538372795,4.197662278009877,33.44815436497001,0.5789473684210527,0.8028940575304712,0.5789473684210527,0.6551380872912802
8,"{'c': 0.5, 'kappa': 0}",0.0442175,0.24399245,908.58026,0.2164790757381258,5.633500552037771,4.81078965172423,37.26744303652456,0.5327342747111682,0.7864939894267097,0.5327342747111682,0.6128350763333075
9,"{'c': 1, 'kappa': 0}",0.07218194,0.3892157,1226.7664,0.2166387676508344,9.196290871165646,7.674151047489894,50.318554447164686,0.362002567394095,0.6865580502593387,0.362002567394095,0.44134725117530227
10,"{'c': 1.1605, 'kappa': 0}",0.07698768,0.41876206,1294.9744,0.21664698331193838,9.80856242135104,8.256715291731586,53.11625780288659,0.32734274711168165,0.6636494232018035,0.32734274711168165,0.40560980931375146
11,"{'c': 1.7389, 'kappa': 0}",0.09132766,0.5123655,1475.4468,0.21671630295250321,11.635538239294533,10.102291129119907,60.518735740104596,0.23491655969191272,0.5757047864246134,0.23491655969191272,0.30377544984416277
12,"{'c': 7.5551, 'kappa': 0}",0.14199667,0.8475792,1908.0745,0.216801026957638,18.09098853679653,16.711685913990262,78.26392382652277,0.03080872913992298,0.10926309975508673,0.03080872913992298,0.04356135258675777
13,"{'c': 10, 'kappa': 0}",0.1557982,0.9215868,1943.3761,0.21680821566110398,19.849363058751717,18.170891497444032,79.71189904154276,0.01668806161745828,0.09456568249893024,0.01668806161745828,0.02836970474967907
14,"{'c': 13.0163, 'kappa': 0}",0.16953239,0.9864235,1943.3735,0.21681437740693196,21.59915838445476,19.44927382533223,79.71179389484209,0.01668806161745828,0.07801668806161746,0.01668806161745828,0.02749486803933655
15,"{'c': 14.7438, 'kappa': 0}",0.17678128,1.0177703,1943.3723,0.21681489088575095,22.522698704171162,20.067337427244325,79.71174382498462,0.01668806161745828,0.07611384201133412,0.01668806161745828,0.02737427651284823
16,"{'c': 100, 'kappa': 0}",0.31122583,1.9600095,1943.7946,0.21680256739409498,39.651514908740815,38.64543058459139,79.7290629886818,0.01540436456996149,0.0778544912049405,0.015404364569961491,0.025719787273060703
17,"{'c': 1000, 'kappa': 0}",0.3200296,2.7112136,1943.7946,0.21677637997432606,40.77315131894843,53.4568934037489,79.7290629886818,0.01540436456996149,0.08001711596063328,0.015404364569961491,0.025835122641998196
