parameter_index,attack_params,norm_linf,norm_l2,norm_l0,clip,pct_change_linf,pct_change_l2,pct_change_l0,accuracy,precision,recall,f1
0,{'eps': 0.0005},0.028289724,0.08285466,2220.5442,0.1253982028241335,3.6042330198550583,1.6336420924826753,91.08056560513228,0.9666238767650834,0.9668687915573063,0.9666238767650834,0.9661501160205346
1,{'eps': 0.001},0.02874991,0.10463631,2220.5442,0.13213915275994864,3.6628625901707887,2.063110104995316,91.08056560513228,0.9563543003851092,0.9577458665809184,0.9563543003851092,0.9561394999557676
2,{'eps': 0.0017},0.02939421,0.13525116,2220.5442,0.13942849807445443,3.7449492094115926,2.6667419749228207,91.08056560513228,0.9499358151476252,0.951026110275926,0.9499358151476252,0.9494248146248336
3,{'eps': 0.0062},0.033541236,0.33236942,2220.5442,0.17386187419768934,4.273298317657394,6.553314931229742,91.08056560513228,0.8973042362002568,0.8998757975908697,0.8973042362002568,0.8971730114462889
4,{'eps': 0.0076},0.034831606,0.39332074,2220.5442,0.18284672657252887,4.437696999722747,7.755089794518462,91.08056560513228,0.8921694480102695,0.8964826584669968,0.8921694480102695,0.8932300801614188
5,{'eps': 0.01},0.037045162,0.49718556,2220.5442,0.19712503209242618,4.719713633681268,9.802988407417478,91.08056560513228,0.8806161745827985,0.8857867393634874,0.8806161745827985,0.8822538242253355
6,{'eps': 0.0102},0.037229773,0.50580335,2220.5442,0.19828908857509628,4.74323380680979,9.972905010810166,91.08056560513228,0.8806161745827985,0.8857867393634874,0.8806161745827985,0.8822538242253355
7,{'eps': 0.0222},0.048334345,1.0126646,2220.5442,0.2534741976893453,6.158004304671996,19.96666787009448,91.08056560513228,0.8292682926829268,0.8549920775399678,0.8292682926829268,0.84053885560712
8,{'eps': 0.0232},0.049261175,1.0540898,2220.5442,0.25719691912708603,6.2760864330386426,20.783447489743597,91.08056560513228,0.8241335044929397,0.8517086059031013,0.8241335044929397,0.8364158938338395
9,{'eps': 0.0255},0.05139289,1.1489447,2220.5442,0.2654305519897304,6.547676182594457,22.65369888581388,91.08056560513228,0.8189987163029525,0.8524026491801248,0.8189987163029525,0.8339528299443624
10,{'eps': 0.0477},0.0720744,2.0389977,2220.5442,0.3259270860077022,9.182589596690827,40.20283775799894,91.08056560513228,0.772785622593068,0.8236142427503154,0.772785622593068,0.7950900190943001
11,{'eps': 0.0514},0.07554167,2.1837163,2220.5442,0.3334469833119384,9.624334670895653,43.05624972029705,91.08056560513228,0.7637997432605905,0.8205912567458298,0.7637997432605905,0.7895989121370006
12,{'eps': 0.05},0.07422973,2.1290567,2220.5442,0.33066238767650835,9.457188424817042,41.97852840334087,91.08056560513228,0.7650834403080873,0.8206133609215096,0.7650834403080873,0.7902743320531475
13,{'eps': 0.1},0.12136866,4.021134,2220.5442,0.40349884467265723,15.462891587436458,79.28454148084049,91.08056560513228,0.6713735558408216,0.7667389428613479,0.6713735558408216,0.7068756361660888
14,{'eps': 0.5},0.5110161,17.88094,2220.5442,0.5129042362002567,65.10565415925282,352.5577918002189,91.08056560513228,0.4492939666238768,0.6280087290300672,0.4492939666238768,0.4951146284845545
15,{'eps': 1},1.0050766,32.8708,2220.5442,0.9998567394094994,128.05110505135633,648.1122918492962,91.08056560513228,0.386392811296534,0.6253415127173657,0.386392811296534,0.42848455540629377
