parameter_index,attack_params,norm_linf,norm_l2,norm_l0,clip,pct_change_linf,pct_change_l2,pct_change_l0,accuracy,precision,recall,f1
0,"{'c': 0.001, 'kappa': 0}",0.00068482757,0.0020445543,3.603608,0.5537071347310255,0.07597315498371532,0.15764574557601066,20.02004384994507,0.8184625385990574,0.7944574652477525,0.8184625385990574,0.8016974494924469
1,"{'c': 0.01, 'kappa': 0}",0.009985358,0.017980805,8.818625,0.5537071347310255,1.1077521158849324,1.3864133177792153,48.992363611857094,0.6346497643425971,0.635681208583128,0.6346497643425971,0.6311442447184282
2,"{'c': 0.05, 'kappa': 0}",0.03734028,0.065030545,15.662929,0.5537201365187713,4.142442557265852,5.014192374345945,87.01626989576552,0.38241508207378516,0.4399013063338462,0.38241508207378516,0.40578454759405413
3,"{'c': 0.0991, 'kappa': 0}",0.07165165,0.11474929,18.174387,0.5537233869657078,7.948865328912284,8.847765540927956,100.96881654527452,0.229806598407281,0.30709958187938824,0.229806598407281,0.2610913725495655
4,"{'c': 0.1, 'kappa': 0}",0.07177985,0.11482434,18.19779,0.5537233869657078,7.963086945438784,8.853552262001864,101.09883414374457,0.2296440760604583,0.3066424077825872,0.2296440760604583,0.2607821214667838
5,"{'c': 0.1013, 'kappa': 0}",0.07244607,0.11584048,18.252071,0.5537233869657078,8.036996205475,8.931901926147995,101.40039655897353,0.22671867381764993,0.30483028451289895,0.22671867381764993,0.25824772536344104
6,"{'c': 0.2141, 'kappa': 0}",0.11491546,0.17240208,19.821226,0.5537298878595807,12.748450136397254,13.293095026818492,110.11792288886176,0.10336421257922965,0.15799825447931734,0.10336421257922965,0.12451389560719728
7,"{'c': 0.3903, 'kappa': 0}",0.1433545,0.20935914,20.481228,0.5537363887534535,15.903410708316844,16.142675712725495,113.78459930419922,0.047944092312693,0.07813201206557328,0.047944092312693,0.0589479901104981
8,"{'c': 0.5, 'kappa': 0}",0.15608865,0.22733994,20.67723,0.5537363887534535,17.316106712212868,17.5290885996459,114.87350463867188,0.02844141069397042,0.04711458157100912,0.02844141069397042,0.03506330412669813
9,"{'c': 1, 'kappa': 0}",0.17693454,0.26449454,20.854706,0.5537363887534535,19.628700587610812,20.3939010062472,115.85947672526042,0.01218917601170161,0.020633779014584422,0.01218917601170161,0.015114399127953766
10,"{'c': 1.1605, 'kappa': 0}",0.18067683,0.27294296,20.86982,0.5537363887534535,20.04386169374609,21.045318166367846,115.94344245062933,0.010726474890297415,0.019050553385160006,0.010726474890297415,0.013514986854081737
11,"{'c': 1.7389, 'kappa': 0}",0.19196674,0.29944426,20.900373,0.5537298878595807,21.296337623788236,23.088705717595236,116.11318588256836,0.0078010726474890294,0.014125076668195007,0.0078010726474890294,0.009893105472559094
12,"{'c': 7.5551, 'kappa': 0}",0.21795413,0.37760776,20.925564,0.5537331383065172,24.179317011949596,29.11551740651214,116.25313229031033,0.00520071509832602,0.009894239638120268,0.00520071509832602,0.006682198482597667
13,"{'c': 10, 'kappa': 0}",0.2180247,0.38230222,20.919226,0.5537331383065172,24.18714609202277,29.477484766211184,116.21792051527235,0.005850804485616773,0.010801498879650909,0.005850804485616773,0.007451997924013935
14,"{'c': 13.0163, 'kappa': 0}",0.21821256,0.3845375,20.916302,0.5537331383065172,24.20798671965843,29.64983518444066,116.20167626274957,0.0060133268324394605,0.010821513258593322,0.0060133268324394605,0.007601134481406177
15,"{'c': 14.7438, 'kappa': 0}",0.21844438,0.38559932,20.919064,0.5537331383065172,24.23370399134305,29.731707550227338,116.21701982286241,0.005850804485616773,0.010732323133640836,0.005850804485616773,0.007436798441911046
16,"{'c': 100, 'kappa': 0}",0.21937527,0.38876668,20.91695,0.5537298878595807,24.336974781303176,29.97592751608218,116.20527903238933,0.0060133268324394605,0.010603601694281374,0.0060133268324394605,0.007550819583064125
17,"{'c': 1000, 'kappa': 0}",0.21914345,0.38844687,20.912563,0.5537298878595807,24.31125750961856,29.951268604598365,116.18090735541449,0.006500893872907525,0.011552350963956935,0.006500893872907525,0.00818032107708349
