parameter_index,attack_params,norm_linf,norm_l2,norm_l0,clip,pct_change_linf,pct_change_l2,pct_change_l0,accuracy,precision,recall,f1
0,{'eps': 0.0005},0.0005843205,0.0030375787,35.64619,0.29434422233057045,0.06482313972147254,0.23421307248727277,198.03439246283637,0.8625060945880059,0.8441852950405919,0.8625060945880059,0.8453537222340478
1,{'eps': 0.001},0.0010839778,0.0059777247,35.64619,0.2981504956931578,0.12025393532776503,0.4609135830273891,198.03439246283637,0.860880871119779,0.8425049889483011,0.860880871119779,0.8437533104731121
2,{'eps': 0.0017},0.0017835334,0.0100817215,35.64619,0.30118966357874205,0.19786098562018184,0.7773530256721076,198.03439246283637,0.8577929465301479,0.8381424188886322,0.8577929465301479,0.8406561187109393
3,{'eps': 0.0062},0.0062810364,0.03632093,35.64619,0.3100633837152608,0.6968033660250326,2.8005320060767867,198.03439246283637,0.8345522509345035,0.8119002083518574,0.8345522509345035,0.8172125660594637
4,{'eps': 0.0076},0.00768035,0.04445473,35.64619,0.3119356411506582,0.8520399126039262,3.4276903789296393,198.03439246283637,0.825450999512433,0.8005536780087911,0.825450999512433,0.8077123971305727
5,{'eps': 0.01},0.0100795645,0.058369398,35.64619,0.31458475540386804,1.1182031153655285,4.500583394319962,198.03439246283637,0.8101738989111003,0.7820925574921154,0.8101738989111003,0.7921796569481018
6,{'eps': 0.0102},0.010279515,0.05952758,35.64619,0.31477978222005526,1.1403851300708419,4.58988520220813,198.03439246283637,0.8087111977896961,0.7807965813623954,0.8087111977896961,0.790785686855571
7,{'eps': 0.0222},0.02227731,0.12868996,35.64619,0.32546075085324233,2.471392283529077,9.922663485986496,198.03439246283637,0.7064846416382252,0.6819597136119693,0.7064846416382252,0.6918563909524664
8,{'eps': 0.0232},0.02327715,0.13442382,35.64619,0.32631561839752965,2.58231217233498,10.36477403144318,198.03439246283637,0.6977084349098001,0.6745746939221609,0.6977084349098001,0.6837454104022512
9,{'eps': 0.0255},0.025576776,0.14759439,35.64619,0.3284284089062246,2.8374271933574486,11.380293313052867,198.03439246283637,0.6796684544124817,0.6578328296602567,0.6796684544124817,0.6664871002738767
10,{'eps': 0.0477},0.047773164,0.27342722,35.64619,0.34836990086136843,5.299842112449792,21.082656965426693,198.03439246283637,0.5579392166422883,0.5471524197582301,0.5579392166422883,0.5503112106815938
11,{'eps': 0.0514},0.05147257,0.2941621,35.64619,0.35162359824475864,5.710245597712904,22.681423500524016,198.03439246283637,0.5433122054282464,0.5352705439101526,0.5433122054282464,0.5368129240355979
12,{'eps': 0.05},0.050072804,0.28632426,35.64619,0.35045993824150823,5.554958786571937,22.07708599546631,198.03439246283637,0.5485129205265724,0.5401238364209141,0.5485129205265724,0.5418682039310294
13,{'eps': 0.1},0.10006468,0.5605148,35.64619,0.39259223143182187,11.10093958879476,43.218599423462656,198.03439246283637,0.39184137818950104,0.4187666010753748,0.39184137818950104,0.3884033351101441
14,{'eps': 0.5},0.5,2.5272176,35.64619,0.5174516496018202,55.46882072167058,194.86158930694373,198.03439246283637,0.22639362912400454,0.12726965266581836,0.22639362912400454,0.13697786361294337
15,{'eps': 1},0.99856335,4.6555486,35.64619,0.9999934991061271,110.77826279722319,358.96694625841747,198.03439246283637,0.17942467089224767,0.11685587265596768,0.17942467089224767,0.10062959787260983
